Date,Time,Content,From
25/12/19, 11:58:53 PM, hindi, $h@lin!
25/12/19, 11:59:29 PM, always ño no?, Mr. Buddy
25/12/19, 11:59:39 PM, no, $h@lin!
25/12/19, 11:59:53 PM, kind of but it gives different meaning, $h@lin!
26/12/19, 12:00:14 AM, it’s like fir bhi means even after knowing, $h@lin!
26/12/19, 12:00:31 AM, even after knowing u said no, $h@lin!
26/12/19, 12:01:05 AM, what if u get a hindi girlfriend, $h@lin!
26/12/19, 12:02:09 AM, which stats girls are beautiful 🧐🤔 kerala? tamilnadu? karnataka? north india?, $h@lin!
26/12/19, 12:03:40 AM, kerala, Mr. Buddy
26/12/19, 12:04:00 AM, 👀, $h@lin!
26/12/19, 12:04:32 AM, u have any cousins? in kerala, $h@lin!
26/12/19, 12:04:57 AM, like ur mother brother daughters 🤔, $h@lin!
26/12/19, 12:08:23 AM, nope, Mr. Buddy
26/12/19, 12:08:41 AM, disappointing, $h@lin!
26/12/19, 12:08:51 AM, no., Mr. Buddy
26/12/19, 12:08:55 AM, why, $h@lin!
26/12/19, 12:09:15 AM, we don't marry inside relatives an all, Mr. Buddy
26/12/19, 12:09:30 AM, ohh is it, $h@lin!
26/12/19, 12:09:41 AM, yes., Mr. Buddy
26/12/19, 12:09:45 AM, good, $h@lin!
26/12/19, 12:09:51 AM, but here it’s natural, $h@lin!
26/12/19, 12:10:06 AM, but now a days no one prefer, $h@lin!
26/12/19, 12:10:39 AM, even our relatives suggested a proposal from my father’s sister son, $h@lin!
26/12/19, 12:11:01 AM, ohw ok, Mr. Buddy
26/12/19, 12:11:28 AM, fuck this oks😡, $h@lin!
26/12/19, 12:11:58 AM, ok go to bed😡, $h@lin!
26/12/19, 12:13:32 AM, u dnt want to talk to me?, $h@lin!
26/12/19, 8:41:58 AM, good morning, Mr. Buddy
26/12/19, 9:58:14 AM, good morning, $h@lin!
26/12/19, 9:58:36 AM, today is solar eclipse...careful, $h@lin!
26/12/19, 9:59:05 AM, it's very cold outside, Mr. Buddy
26/12/19, 9:59:26 AM, too dark 👀, $h@lin!
26/12/19, 9:59:35 AM, no, Mr. Buddy
26/12/19, 10:00:04 AM, here it is dark, $h@lin!
26/12/19, 10:00:14 AM, lookslike evening, $h@lin!
26/12/19, 10:00:36 AM, just one more hour, $h@lin!
26/12/19, 10:02:01 AM, i reached alrdy, Mr. Buddy
26/12/19, 10:03:32 AM, 😱😱😱😱, $h@lin!
26/12/19, 10:03:50 AM, i just came to bathe😭😭😭😭, $h@lin!
26/12/19, 10:05:26 AM, before u say.... i take bath everyday... those were exceptional days... now a days without taking bath i dnt go out👀, $h@lin!
26/12/19, 10:07:33 AM, ajay sir has not come rgt😁, $h@lin!
26/12/19, 10:07:49 AM, i dunno, Mr. Buddy
26/12/19, 10:30:10 AM, ajay sir is here, Mr. Buddy
26/12/19, 10:33:43 AM, 😰, $h@lin!
26/12/19, 10:33:54 AM, someone said he ll be on leave, $h@lin!
26/12/19, 10:39:04 AM, he is here, Mr. Buddy
26/12/19, 10:47:02 AM, someone fooled me🤯, $h@lin!
26/12/19, 10:47:07 AM, i’m leaving now, $h@lin!
26/12/19, 1:57:17 PM, will o, Mr. Buddy
26/12/19, 1:57:19 PM, go, Mr. Buddy
26/12/19, 2:59:47 PM, i’m sorry, $h@lin!
‎26/12/19, 3:01:04 PM, ‎gif omitted, $h@lin!
26/12/19, 3:03:02 PM, please, $h@lin!
26/12/19, 11:32:12 PM, good night take care, $h@lin!
26/12/19, 11:33:17 PM, i’m sorry if u still have that in mind, $h@lin!
26/12/19, 11:55:11 PM, i cnt take it out of my mind... u said u treat me the way i treat.. i apologised for what i said..., $h@lin!
26/12/19, 11:55:32 PM, when i have ignored u so u treat me like that!, $h@lin!
26/12/19, 11:57:39 PM, i always given u first priority but u have changed, $h@lin!
26/12/19, 11:58:38 PM, i just hate u and all are shits only... no friendship nothing..fucking shit... get lost, $h@lin!
27/12/19, 8:59:22 AM, bye, Mr. Buddy
27/12/19, 9:34:08 AM, 👀?, $h@lin!
27/12/19, 9:45:16 AM, this is it?, $h@lin!
27/12/19, 9:52:39 AM, ok man bye, $h@lin!
27/12/19, 11:20:46 AM, where are you going?, $h@lin!
27/12/19, 11:29:13 AM, good, Mr. Buddy
27/12/19, 11:29:16 AM, food, Mr. Buddy
27/12/19, 2:27:08 PM, man, $h@lin!
27/12/19, 2:27:20 PM, i’m sorry.., $h@lin!
27/12/19, 2:27:36 PM, why u saying let it be like this!, $h@lin!
27/12/19, 2:29:25 PM, 😡, $h@lin!
27/12/19, 2:29:31 PM, say, $h@lin!
27/12/19, 2:30:27 PM, if u dnt want then i also dnt want 😠, $h@lin!
27/12/19, 6:45:15 PM, hey man, $h@lin!
27/12/19, 6:52:29 PM, i’m sorry but dnt be like this.. i don’t know i’m not feeling comfortable, $h@lin!
27/12/19, 6:52:44 PM, why, Mr. Buddy
27/12/19, 6:52:49 PM, what happened, Mr. Buddy
27/12/19, 6:53:02 PM, u dnt know what happened?, $h@lin!
27/12/19, 6:53:29 PM, i also dnt know but not feeling good because of u👀, $h@lin!
27/12/19, 7:53:40 PM, why u walk away even when i’m talking, $h@lin!
27/12/19, 7:53:49 PM, really it feels very bad, $h@lin!
27/12/19, 7:54:31 PM, i didn’t mean get lost in the way u took... if i would mean i wouldn’t be asking sorry these many times, $h@lin!
27/12/19, 7:55:06 PM, it’s up to u to understand.. and i’m sorry, $h@lin!
27/12/19, 7:55:11 PM, i mean it, $h@lin!
27/12/19, 7:55:30 PM, ok man no worries, Mr. Buddy
27/12/19, 7:55:33 PM, all fine, Mr. Buddy
27/12/19, 7:55:38 PM, 🙌, Mr. Buddy
‎27/12/19, 7:56:05 PM, ‎MediaShared, $h@lin!
27/12/19, 8:00:31 PM, ok man ll not bother you 🤐, $h@lin!
28/12/19, 1:09:04 AM, good night take care man, $h@lin!
29/12/19, 12:45:30 PM, dey 👀, $h@lin!
29/12/19, 2:53:32 PM, d, Mr. Buddy
29/12/19, 3:11:06 PM, poda, $h@lin!
30/12/19, 12:02:55 AM, i’m not comfortable...let’s stop this cold war🥴...i want my friend back like how u are...good night take care machu 👻, $h@lin!
30/12/19, 1:14:51 PM, lunch?, $h@lin!
30/12/19, 1:19:06 PM, no man i'm not coming in full, Mr. Buddy
30/12/19, 1:19:32 PM, you can ask satish karthik, Mr. Buddy
30/12/19, 1:19:40 PM, ok, $h@lin!
30/12/19, 4:09:09 PM, coffee if in case, $h@lin!
30/12/19, 4:09:42 PM, will have by 5, Mr. Buddy
30/12/19, 4:11:36 PM, ping me, $h@lin!
30/12/19, 4:11:49 PM, ok, Mr. Buddy
31/12/19, 12:22:53 PM, will go little early tdy for lunch?, $h@lin!
31/12/19, 12:26:04 PM, you ll come right, $h@lin!
31/12/19, 12:40:11 PM, haa, Mr. Buddy
31/12/19, 12:43:39 PM, 🥺, $h@lin!
31/12/19, 1:13:23 PM, will go for lunch, Mr. Buddy
31/12/19, 3:28:39 PM, coffee?, $h@lin!
31/12/19, 3:29:00 PM, i left man, Mr. Buddy
31/12/19, 3:29:13 PM, left where?, $h@lin!
31/12/19, 3:29:18 PM, what happened?, $h@lin!
31/12/19, 3:29:24 PM, home, Mr. Buddy
31/12/19, 3:29:31 PM, this early???, $h@lin!
31/12/19, 3:29:47 PM, everything fine?, $h@lin!
31/12/19, 3:34:38 PM, ok take care, $h@lin!
31/12/19, 3:36:14 PM, yes good, Mr. Buddy
31/12/19, 3:47:28 PM, get ur mood back👻, $h@lin!
‎31/12/19, 4:02:36 PM, MediaShared, $h@lin!
31/12/19, 4:02:53 PM, lokesh did something 😂, $h@lin!
31/12/19, 4:15:13 PM, comedy, Mr. Buddy
31/12/19, 4:20:15 PM, 👿, $h@lin!
31/12/19, 4:20:25 PM, that is terror look, $h@lin!
31/12/19, 4:20:32 PM, haaa, Mr. Buddy
31/12/19, 4:20:52 PM, i mean not ur meaning of terror, $h@lin!
31/12/19, 4:21:24 PM, dada came in at the end🙄, $h@lin!
😂😂😂,,,
31/12/19, 4:24:57 PM, i know u r jealous of my look😏😎, $h@lin!
31/12/19, 4:28:19 PM, ha, Mr. Buddy
31/12/19, 4:53:35 PM, what😱😱😱😱👀, $h@lin!
31/12/19, 4:53:43 PM, u are jealous 😱, $h@lin!
31/12/19, 9:14:43 PM, what happened, Mr. Buddy
31/12/19, 9:15:12 PM, actually i lost all money while cancelling and ordering the same product, $h@lin!
31/12/19, 9:16:12 PM, so to order food i left with 53 so asked u but later i checked with my another account... got money so deleted, $h@lin!
31/12/19, 9:16:19 PM, u reached?, $h@lin!
31/12/19, 9:20:58 PM, haa i reached by 4.30 only, Mr. Buddy
31/12/19, 9:21:23 PM, no traffic 😧 good, $h@lin!
31/12/19, 9:21:42 PM, how u feeling now, $h@lin!
31/12/19, 9:25:18 PM, good man, Mr. Buddy
31/12/19, 9:25:20 PM, u, Mr. Buddy
31/12/19, 9:25:33 PM, i don’t know man, $h@lin!
31/12/19, 9:26:06 PM, just waiting for delivery boy😂, $h@lin!
31/12/19, 9:29:44 PM, see u also miss ur parents 😛, $h@lin!
31/12/19, 9:42:54 PM, 🤩 when it’s going to be release, $h@lin!
01/01/20, 12:04:39 AM, happy new year machu🤗, $h@lin!
01/01/20, 12:06:07 AM, will become better enemies this year👻, $h@lin!
01/01/20, 12:49:20 AM, full partying macha🤔🥳, $h@lin!
01/01/20, 12:49:44 AM, seems like in the bed😂😂😂, $h@lin!
01/01/20, 5:56:48 AM, happy new year, Mr. Buddy
01/01/20, 11:42:25 AM, ha new year.. good morning 👻, $h@lin!
01/01/20, 12:05:21 PM, good morning, Mr. Buddy
01/01/20, 12:15:27 PM, it’s afternoon baby... open ur eyes 😱😂, $h@lin!
01/01/20, 12:31:39 PM, i know, Mr. Buddy
01/01/20, 1:23:35 PM, u know that u dnt know😂😂, $h@lin!
‎01/01/20, 1:34:25 PM, MediaShared, $h@lin!
01/01/20, 1:35:21 PM, had a dream of palm cake👀... u ll never buy... it’s waste to wait for u, $h@lin!
01/01/20, 2:01:19 PM, will come to office tomorrow? will get some cake for u, $h@lin!
01/01/20, 2:04:00 PM, i'll come office, Mr. Buddy
01/01/20, 2:04:09 PM, but no cake an all, Mr. Buddy
01/01/20, 2:05:02 PM, u didn’t get.. at least i ll buy for u😏, $h@lin!
01/01/20, 2:05:29 PM, it’s for new year, $h@lin!
01/01/20, 2:06:43 PM, i don't need, Mr. Buddy
01/01/20, 2:07:18 PM, ha u dnt sit next to me know now🤔, $h@lin!
01/01/20, 2:07:46 PM, have some kind heart, $h@lin!
01/01/20, 2:14:33 PM, no, Mr. Buddy
01/01/20, 2:14:43 PM, fine i dnt bring, $h@lin!
01/01/20, 2:14:51 PM, y, $h@lin!
01/01/20, 2:15:20 PM, which u ll achieve by hurting someone, $h@lin!
01/01/20, 2:15:35 PM, where is ur moro of spreading, $h@lin!
01/01/20, 2:16:09 PM, i'm evil, Mr. Buddy
01/01/20, 2:19:51 PM, stop watching horror series, $h@lin!
01/01/20, 2:23:50 PM, y, Mr. Buddy
01/01/20, 2:24:09 PM, u seems so scary, $h@lin!
01/01/20, 2:29:29 PM, and u r trying to escape from something, $h@lin!
01/01/20, 2:41:44 PM, full partying ha!, $h@lin!
01/01/20, 4:41:22 PM, nope, Mr. Buddy
01/01/20, 4:41:34 PM, then, $h@lin!
01/01/20, 4:56:20 PM, back to horror world?, $h@lin!
01/01/20, 4:58:45 PM, lizard🧐... i dnt understand, $h@lin!
01/01/20, 8:34:01 PM, joker about testers, Mr. Buddy
01/01/20, 9:05:36 PM, ha got it and testers do burst everything 😂😂😂, $h@lin!
01/01/20, 9:06:28 PM, especially developer brain👀, $h@lin!
01/01/20, 9:07:21 PM, no not that, Mr. Buddy
01/01/20, 9:07:35 PM, it's not like that, Mr. Buddy
01/01/20, 9:07:47 PM, 🤔, $h@lin!
01/01/20, 9:08:40 PM, although i’m not relating to that joke.. i said the reality 🤣, $h@lin!
01/01/20, 9:08:53 PM, then what the joke means, $h@lin!
01/01/20, 9:54:18 PM, he tests one major scenario but the real user comes and ask for some other thing, Mr. Buddy
01/01/20, 9:59:51 PM, ha for bathroom 😂, $h@lin!
01/01/20, 10:01:56 PM, ha, Mr. Buddy
01/01/20, 10:07:04 PM, u came back to room?, $h@lin!
02/01/20, 1:22:48 AM, hey just ignore.. good morning, $h@lin!
02/01/20, 7:56:32 AM, good morning, Mr. Buddy
02/01/20, 9:28:56 AM, good morning..nice day, $h@lin!
02/01/20, 9:29:22 AM, 😊, Mr. Buddy
02/01/20, 9:29:52 AM, something fishy 🧐, $h@lin!
02/01/20, 9:30:07 AM, where are you 😅, $h@lin!
02/01/20, 9:35:04 AM, whever u are.. keep smiling 😊, $h@lin!
02/01/20, 9:37:34 AM, too dramatic dialogue 😂😂😂😂, $h@lin!
02/01/20, 11:02:25 AM, get me chocolate 🤪, $h@lin!
02/01/20, 11:02:58 AM, hand on..where are you!, $h@lin!
02/01/20, 1:06:40 PM, lunch?, $h@lin!
02/01/20, 1:13:16 PM, ha, Mr. Buddy
02/01/20, 1:13:32 PM, 10min?, $h@lin!
02/01/20, 1:14:01 PM, ha, Mr. Buddy
‎02/01/20, 2:14:20 PM, MediaShared, $h@lin!
02/01/20, 2:14:46 PM, if u still have doubt google, $h@lin!
02/01/20, 2:15:24 PM, i could see the mark on my arms🤕, $h@lin!
02/01/20, 2:16:03 PM, ask vivek he will cure, Mr. Buddy
02/01/20, 2:28:15 PM, that is done by u, $h@lin!
02/01/20, 3:09:43 PM, 😏, $h@lin!
https://youtu.be/0KNk-Joi-NM,,,
02/01/20, 3:09:52 PM, dummy kali, $h@lin!
02/01/20, 3:41:21 PM, ping me if u go for coffee, $h@lin!
02/01/20, 4:40:32 PM, heyyyyyyyyyyyyyyyyyyyyyyyyy, $h@lin!
‎02/01/20, 4:40:53 PM, ‎MediaShared, $h@lin!
02/01/20, 5:37:38 PM, they gave home for tea, Mr. Buddy
02/01/20, 5:37:42 PM, you can go with them, Mr. Buddy
02/01/20, 5:38:07 PM, they didn’t call me, $h@lin!
02/01/20, 5:38:18 PM, just jon then, Mr. Buddy
02/01/20, 5:38:18 PM, i ll come only with u, $h@lin!
02/01/20, 5:38:26 PM, no one calls none, Mr. Buddy
02/01/20, 5:39:02 PM, ha at least once u ping no👀, $h@lin!
02/01/20, 5:39:16 PM, because ll not know they they gone for tea, $h@lin!
02/01/20, 5:40:20 PM, there ll be other ppl also i dnt feel comfortable joining them.., $h@lin!
02/01/20, 5:40:33 PM, if u come.. i can join 👀, $h@lin!
02/01/20, 5:46:46 PM, will have sandwich 🙄, $h@lin!
02/01/20, 5:49:46 PM, no man, Mr. Buddy
02/01/20, 5:49:52 PM, some other time, Mr. Buddy
02/01/20, 5:50:47 PM, i knew it, $h@lin!
02/01/20, 5:50:59 PM, no problem, $h@lin!
02/01/20, 5:54:00 PM, haaa, Mr. Buddy
02/01/20, 5:56:06 PM, after all we are nothing 🥱, $h@lin!
02/01/20, 5:56:21 PM, ha, Mr. Buddy
02/01/20, 5:56:41 PM, #reality, $h@lin!
02/01/20, 11:13:32 PM, hey mr.nothing😅, $h@lin!
03/01/20, 11:04:51 AM, got cold??, $h@lin!
03/01/20, 11:05:07 AM, sneezing !!?, $h@lin!
03/01/20, 11:29:45 AM, nope not me, Mr. Buddy
03/01/20, 11:33:31 AM, 🧐, $h@lin!
03/01/20, 1:12:27 PM, will go for luch, Mr. Buddy
03/01/20, 1:12:31 PM, lunch, Mr. Buddy
03/01/20, 1:12:39 PM, ha, $h@lin!
03/01/20, 2:02:34 PM, i'll send on monday, Mr. Buddy
03/01/20, 2:03:04 PM, no problem.. if u want any money.. ask me anytime, $h@lin!
03/01/20, 2:03:17 PM, ok thank you, Mr. Buddy
‎03/01/20, 2:05:54 PM, MediaShared, $h@lin!
‎03/01/20, 2:13:50 PM, MediaShared, Mr. Buddy
03/01/20, 2:14:01 PM, father transferred, Mr. Buddy
03/01/20, 2:14:17 PM, oh, $h@lin!
03/01/20, 2:14:19 PM, good, $h@lin!
03/01/20, 2:14:23 PM, my account was actually -70 rs, Mr. Buddy
03/01/20, 2:14:43 PM, may be it deducted the minimum balance, $h@lin!
03/01/20, 2:14:49 PM, ha, Mr. Buddy
03/01/20, 2:15:00 PM, but this is zero balance account, Mr. Buddy
03/01/20, 2:15:04 PM, have to check, Mr. Buddy
03/01/20, 2:15:20 PM, ha, $h@lin!
03/01/20, 4:24:18 PM, tea, Mr. Buddy
03/01/20, 7:13:53 PM, ha will go, $h@lin!
03/01/20, 7:14:03 PM, qq, Mr. Buddy
03/01/20, 7:16:04 PM, 👀, $h@lin!
03/01/20, 7:16:59 PM, i want to have tea, $h@lin!
03/01/20, 7:18:56 PM, thanks for the money and u dnt have to send that money back 😡.. i felt really bad, $h@lin!
03/01/20, 7:19:07 PM, am i really an outsider?!, $h@lin!
03/01/20, 7:45:04 PM, no man, Mr. Buddy
03/01/20, 7:45:12 PM, then, $h@lin!
03/01/20, 7:47:09 PM, no problem... i just felt like that because we do dnt take money from everyone, $h@lin!
03/01/20, 7:50:59 PM, actually i also dnt wanted to take money from u.. but u came to my place and give and i said no.. later felt bad so took it, $h@lin!
03/01/20, 7:51:55 PM, nothing is impossible and not that have no money.. i can withdraw at metro or any place.. but we do ask someone because i dnt feel they are an outsider, $h@lin!
‎04/01/20, 1:29:40 AM, MediaShared, $h@lin!
‎04/01/20, 1:32:27 AM, MediaShared, $h@lin!
‎04/01/20, 1:37:10 AM, MediaShared, $h@lin!
04/01/20, 9:19:27 PM, 😡😡😡😡😡😡😡😡😡😡😡, $h@lin!
04/01/20, 9:21:09 PM, it has good usablity, $h@lin!
04/01/20, 10:27:46 PM, say that to that memer, Mr. Buddy
04/01/20, 10:34:06 PM, 😠, $h@lin!
04/01/20, 10:34:48 PM, the users who use iphone know it.. we dnt need to do publicity 😏, $h@lin!
05/01/20, 10:25:40 PM, hey i did something🙈 if u dnt misunderstand i ll say, $h@lin!
05/01/20, 10:26:16 PM, i have to tell someone else i cnt stop regretting 🙈, $h@lin!
05/01/20, 10:28:28 PM, what??!, Mr. Buddy
05/01/20, 10:28:47 PM, u shouldn’t tease me, $h@lin!
05/01/20, 10:29:37 PM, ???, Mr. Buddy
05/01/20, 10:29:46 PM, in odigo group there was some messages... just to see i saved vivek contact 🙈, $h@lin!
05/01/20, 10:30:09 PM, forgot to delete... and vowed his status 😰, $h@lin!
05/01/20, 10:30:28 PM, he might think i have saved his number 😰, $h@lin!
05/01/20, 10:30:53 PM, if u like just talk with him man, Mr. Buddy
05/01/20, 10:31:00 PM, i don’t like, $h@lin!
05/01/20, 10:31:10 PM, you are not a student to be scared, Mr. Buddy
05/01/20, 10:31:16 PM, just opened his profile, $h@lin!
05/01/20, 10:31:20 PM, nothing else, $h@lin!
05/01/20, 10:31:25 PM, i’m not interested, $h@lin!
05/01/20, 10:31:46 PM, 😠, $h@lin!
05/01/20, 10:32:01 PM, it’s all because of u ppl, $h@lin!
05/01/20, 10:32:07 PM, whatever, Mr. Buddy
05/01/20, 10:32:15 PM, lol what bcz of us, Mr. Buddy
05/01/20, 10:32:21 PM, casually i opened but!, $h@lin!
05/01/20, 10:32:31 PM, because u ppl tease me, $h@lin!
05/01/20, 10:34:27 PM, no🙄, $h@lin!
05/01/20, 10:34:37 PM, u searched coz u wanted to, Mr. Buddy
05/01/20, 10:34:55 PM, don't say coz we teased, Mr. Buddy
05/01/20, 10:35:24 PM, i didn’t search, $h@lin!
05/01/20, 10:35:36 PM, it was in the group, $h@lin!
05/01/20, 10:36:12 PM, no no i’m not interested, $h@lin!
05/01/20, 10:36:29 PM, he just looks like him... it reminds him, $h@lin!
05/01/20, 10:36:41 PM, that’s y i opened his profile, $h@lin!
05/01/20, 10:36:49 PM, i have nothing for him, $h@lin!
05/01/20, 10:37:13 PM, no no, $h@lin!
05/01/20, 10:37:32 PM, whatever i dnt like anyone, $h@lin!
05/01/20, 10:37:53 PM, just say to him if you like, Mr. Buddy
05/01/20, 10:37:58 PM, 💪, Mr. Buddy
05/01/20, 10:38:33 PM, no😠😠😠😠😠, $h@lin!
05/01/20, 10:38:45 PM, u r also misunderstanding, $h@lin!
05/01/20, 10:39:59 PM, i don’t have anything for him.., $h@lin!
05/01/20, 10:40:26 PM, whatever, Mr. Buddy
05/01/20, 10:40:25 PM, just regretting that he may misunderstand that i saved his number, $h@lin!
05/01/20, 10:40:37 PM, u dnt check anyone’s profile?, $h@lin!
05/01/20, 10:42:21 PM, i donf have fb, Mr. Buddy
05/01/20, 10:42:26 PM, fyi i saved ajay prathap number also... only these two ppl number i didn’t save, $h@lin!
05/01/20, 10:42:36 PM, i didn’t check in fb, $h@lin!
05/01/20, 10:42:43 PM, i dnt even have a though, $h@lin!
05/01/20, 10:42:47 PM, thought*, $h@lin!
05/01/20, 10:43:38 PM, but saving a number isn't big thing, Mr. Buddy
05/01/20, 10:43:45 PM, why you have to say it, Mr. Buddy
05/01/20, 10:44:00 PM, but i dnt do know🙈, $h@lin!
05/01/20, 10:44:11 PM, say means?, $h@lin!
05/01/20, 10:45:05 PM, so not feeling good so said to u, $h@lin!
05/01/20, 10:47:22 PM, hmm, Mr. Buddy
05/01/20, 10:47:26 PM, ok go u dnt understand the way i’m saying.. u dnt understand me, $h@lin!
05/01/20, 10:49:49 PM, ok tell me i shouldn’t share anything with u?, $h@lin!
05/01/20, 10:50:06 PM, ur wish, Mr. Buddy
05/01/20, 10:50:13 PM, no, $h@lin!
05/01/20, 10:50:28 PM, i feel comfortable and share but it depends on u too, $h@lin!
05/01/20, 10:50:43 PM, if u r not interested to listen it’s waste, $h@lin!
05/01/20, 10:50:57 PM, i don’t want to trouble u, $h@lin!
05/01/20, 10:51:17 PM, ok, Mr. Buddy
05/01/20, 10:51:25 PM, means?, $h@lin!
05/01/20, 10:52:42 PM, u like talking to me? yes or no, $h@lin!
05/01/20, 10:57:50 PM, though u avoid sometimes i had a different belief towards u.., $h@lin!
05/01/20, 11:00:03 PM, if u dnt like stay.. say it directly else it ll be a insult for me because i ll be one comfort zone and u have different, $h@lin!
05/01/20, 11:07:48 PM, ???, Mr. Buddy
05/01/20, 11:07:51 PM, nothing like that, Mr. Buddy
05/01/20, 11:10:08 PM, go i hate u, $h@lin!
05/01/20, 11:10:19 PM, u dnt understand me, $h@lin!
05/01/20, 11:39:52 PM, hate/misunderstand me how much u can and i dnt care🥱😏 one day u ll know😏 then u ll miss me👀, $h@lin!
05/01/20, 11:41:05 PM, good night take care.. hate you eternally 👿, $h@lin!
05/01/20, 11:48:59 PM, to clarify.. u r the only person i like and feel pure and u r the only friend in office.., $h@lin!
my ex was only person I loved and I dnt know I can love someone else... all those are just for fun. Vivek resembles him that’s it.. I have no feelings,,,
06/01/20, 12:40:14 AM, ok man, Mr. Buddy
06/01/20, 12:40:21 AM, good night, Mr. Buddy
06/01/20, 4:21:20 AM, sorry🤐, $h@lin!
06/01/20, 4:22:27 AM, good morning have a happy day 😅, $h@lin!
06/01/20, 10:47:58 AM, hey man.. not coming?, $h@lin!
06/01/20, 10:48:23 AM, no, Mr. Buddy
06/01/20, 10:48:35 AM, why what happened, $h@lin!
06/01/20, 10:49:05 AM, i'm just tired, Mr. Buddy
06/01/20, 10:49:18 AM, where are you, $h@lin!
06/01/20, 10:49:41 AM, are you fine?, $h@lin!
06/01/20, 10:49:53 AM, i mean any health issues?, $h@lin!
06/01/20, 10:50:31 AM, no i'm good, Mr. Buddy
06/01/20, 10:51:53 AM, u are at home?, $h@lin!
06/01/20, 10:52:27 AM, no room, Mr. Buddy
06/01/20, 10:52:57 AM, u can still come to office... most of the ppl have not come, $h@lin!
06/01/20, 10:53:08 AM, even ajay sir have not come, $h@lin!
06/01/20, 10:53:20 AM, ohwww, Mr. Buddy
06/01/20, 10:53:52 AM, or take rest and have food on time, $h@lin!
06/01/20, 10:56:17 AM, even if u come by 12 it ll not be considered as leave😂😂, $h@lin!
06/01/20, 1:44:07 PM, had food at least?, $h@lin!
06/01/20, 1:56:41 PM, yes, Mr. Buddy
06/01/20, 1:56:44 PM, you, Mr. Buddy
06/01/20, 1:57:10 PM, had long back.. not hungry, $h@lin!
‎06/01/20, 2:07:39 PM, MediaShared, $h@lin!
06/01/20, 2:08:21 PM, jacket?, Mr. Buddy
06/01/20, 2:09:31 PM, yup.. seems tight🤢, $h@lin!
06/01/20, 2:09:49 PM, i have become fat may be😰, $h@lin!
06/01/20, 2:12:28 PM, nice, Mr. Buddy
06/01/20, 2:13:59 PM, 🤔 will it look good on me is the question, $h@lin!
06/01/20, 2:18:03 PM, ha it's good, Mr. Buddy
06/01/20, 2:18:31 PM, that was mind voice🤭, $h@lin!
06/01/20, 2:18:49 PM, u want one?, $h@lin!
06/01/20, 2:19:46 PM, go to flipkart/myntra and order🤭😂👻, $h@lin!
06/01/20, 2:26:22 PM, ok, Mr. Buddy
06/01/20, 2:27:40 PM, that was a joke😦, $h@lin!
06/01/20, 3:16:42 PM, get some rest...&get back ur mood🥴, $h@lin!
06/01/20, 5:30:27 PM, hey if u have ur old watch charger.. can u bring tomorrow?, $h@lin!
06/01/20, 5:45:50 PM, i have to check in home, Mr. Buddy
06/01/20, 5:46:01 PM, if it's there i'll bring next week, Mr. Buddy
06/01/20, 5:52:42 PM, 👀, $h@lin!
06/01/20, 5:53:09 PM, have a look once.. dnt forget, $h@lin!
06/01/20, 5:54:04 PM, hey, $h@lin!
06/01/20, 5:54:16 PM, preethi was asking whether u come tomorrow or not, $h@lin!
06/01/20, 5:54:21 PM, i said i dnt know, $h@lin!
06/01/20, 5:55:12 PM, so she was asking u ppl are friends or what🤭👀, $h@lin!
06/01/20, 5:55:31 PM, 😂😂😂😂😂, $h@lin!
06/01/20, 5:55:42 PM, the way she gave expression was funny, $h@lin!
06/01/20, 5:55:45 PM, oooooo, Mr. Buddy
06/01/20, 5:55:57 PM, are we friends or what 😂, $h@lin!
06/01/20, 5:57:00 PM, see everyone believe we both are best friends🤭, $h@lin!
06/01/20, 5:57:43 PM, haaaa, Mr. Buddy
06/01/20, 5:57:59 PM, are we🧐, $h@lin!
06/01/20, 5:58:07 PM, no, Mr. Buddy
06/01/20, 5:58:23 PM, why, $h@lin!
06/01/20, 5:58:44 PM, then why ppl think so🤔, $h@lin!
06/01/20, 6:01:46 PM, ask them, Mr. Buddy
06/01/20, 6:02:29 PM, but it’s a big insult to say i dnt know, $h@lin!
06/01/20, 6:02:45 PM, when she said we are friends but dnt know anything 🙄, $h@lin!
06/01/20, 6:03:07 PM, to say, $h@lin!
06/01/20, 6:03:24 PM, say we are not friends, Mr. Buddy
06/01/20, 6:03:41 PM, they ask then what???, $h@lin!
06/01/20, 6:06:52 PM, why we are not friends 🤔, $h@lin!
‎06/01/20, 6:34:43 PM, ‎MediaShared, $h@lin!
06/01/20, 6:58:46 PM, say, $h@lin!
06/01/20, 7:57:19 PM, go.. hate you, $h@lin!
06/01/20, 9:47:07 PM, man, $h@lin!
06/01/20, 9:47:18 PM, ha, Mr. Buddy
06/01/20, 9:47:36 PM, what u doing, $h@lin!
06/01/20, 9:48:11 PM, songs, Mr. Buddy
06/01/20, 9:48:38 PM, are u fine, $h@lin!
06/01/20, 9:48:54 PM, yes, Mr. Buddy
06/01/20, 9:48:56 PM, i'm, Mr. Buddy
06/01/20, 9:49:03 PM, 😂, $h@lin!
06/01/20, 9:49:03 PM, did dada come today??!, Mr. Buddy
06/01/20, 9:49:07 PM, ha, $h@lin!
06/01/20, 9:49:12 PM, ok, Mr. Buddy
06/01/20, 9:49:12 PM, why, $h@lin!
06/01/20, 9:49:21 PM, his bike is here, Mr. Buddy
06/01/20, 9:49:23 PM, that's why, Mr. Buddy
