[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
[23/09/19, 8:52:51 PM] $h@lin!: That birth was just to notify ppl
[23/09/19, 8:52:58 PM] $h@lin!: To alert them?
[23/09/19, 8:53:07 PM] Mr. Buddy: Yes no birth was sacrifice for sin
[23/09/19, 8:53:33 PM] $h@lin!: 🤔
[23/09/19, 8:54:32 PM] $h@lin!: Do u know ur purpose?
[23/09/19, 8:54:41 PM] Mr. Buddy: Yes
[23/09/19, 8:57:24 PM] $h@lin!: Can I know
[23/09/19, 8:58:17 PM] Mr. Buddy: Spread love
[23/09/19, 8:59:53 PM] $h@lin!: First tell me what is love
‎[23/09/19, 9:34:25 PM] $h@lin!: ‎image omitted
‎[23/09/19, 9:40:05 PM] $h@lin!: ‎image omitted
‎[23/09/19, 9:40:05 PM] $h@lin!: ‎image omitted
‎[23/09/19, 9:40:05 PM] $h@lin!: ‎image omitted
‎[23/09/19, 9:40:05 PM] $h@lin!: ‎image omitted
‎[23/09/19, 9:40:05 PM] $h@lin!: ‎image omitted
‎[23/09/19, 9:40:05 PM] $h@lin!: ‎image omitted
[23/09/19, 9:52:02 PM] $h@lin!: 😂😂😂😂funny expression
[23/09/19, 9:52:28 PM] $h@lin!: Kids expressions🤣
[23/09/19, 9:54:36 PM] $h@lin!: I’m looking heighten than ur shoulder
[23/09/19, 9:56:07 PM] $h@lin!: Both have given same expression🤣
[23/09/19, 9:56:31 PM] $h@lin!: 😎
‎[23/09/19, 10:47:13 PM] $h@lin!: ‎image omitted
[23/09/19, 11:35:57 PM] $h@lin!: Hey bring ur hard dish tomorrow
‎[23/09/19, 11:55:48 PM] $h@lin!: ‎image omitted
[24/09/19, 12:09:35 AM] $h@lin!: Make some time and please look at this🤣 #caughtYou👊 Good night take care man
[24/09/19, 8:03:29 AM] Mr. Buddy: Good morning
[24/09/19, 9:26:45 AM] $h@lin!: Good morning
[25/09/19, 2:29:06 AM] $h@lin!: Unblocked 😱
[25/09/19, 11:50:47 AM] Mr. Buddy: Test
‎[25/09/19, 3:07:08 PM] $h@lin!: ‎image omitted
‎[25/09/19, 3:07:08 PM] $h@lin!: ‎image omitted
‎[25/09/19, 3:13:50 PM] $h@lin!: ‎image omitted
[25/09/19, 7:36:11 PM] $h@lin!: Here u go🤣
‎[25/09/19, 8:02:46 PM] $h@lin!: ‎image omitted
‎[25/09/19, 8:25:46 PM] $h@lin!: ‎sticker omitted
‎[25/09/19, 8:26:03 PM] $h@lin!: ‎sticker omitted
[25/09/19, 8:26:42 PM] $h@lin!: Memoji in new update
[25/09/19, 8:26:58 PM] $h@lin!: They have added so many new features
[25/09/19, 8:27:11 PM] $h@lin!: How it is coming??! In android
‎[25/09/19, 8:28:28 PM] Mr. Buddy: ‎image omitted
‎[25/09/19, 8:29:30 PM] $h@lin!: ‎image omitted
‎[25/09/19, 8:30:11 PM] $h@lin!: ‎sticker omitted
[25/09/19, 8:32:22 PM] Mr. Buddy: ??
[25/09/19, 8:36:19 PM] $h@lin!: Dark mode
[25/09/19, 8:36:38 PM] Mr. Buddy: Great
[25/09/19, 8:37:17 PM] $h@lin!: Those Memoji should be animated
[25/09/19, 8:37:27 PM] Mr. Buddy: Oo
[25/09/19, 8:37:35 PM] $h@lin!: But it is still 🤔
[25/09/19, 8:37:46 PM] Mr. Buddy: May be not for Android
[25/09/19, 8:38:04 PM] $h@lin!: For me also it is not
[25/09/19, 8:38:12 PM] Mr. Buddy: Ooo
[25/09/19, 8:38:21 PM] Mr. Buddy: May be next update
[25/09/19, 8:38:29 PM] $h@lin!: All the pop ups are in black
[25/09/19, 8:38:41 PM] Mr. Buddy: Oo
[25/09/19, 8:38:44 PM] $h@lin!: U said even the apps ll be black
[25/09/19, 8:38:53 PM] $h@lin!: 🙄 but it is not
‎[25/09/19, 8:42:00 PM] $h@lin!: ‎sticker omitted
[25/09/19, 8:42:14 PM] $h@lin!: More options for photo editing
‎[25/09/19, 8:47:54 PM] $h@lin!: ‎image omitted
‎[25/09/19, 8:48:34 PM] $h@lin!: ‎image omitted
[25/09/19, 8:48:34 PM] Mr. Buddy: Y
[25/09/19, 8:48:45 PM] $h@lin!: Feel the difference
[25/09/19, 8:48:48 PM] Mr. Buddy: Ooo
[25/09/19, 8:48:49 PM] Mr. Buddy: Ok
[25/09/19, 8:48:59 PM] $h@lin!: Those editing doesn’t look like u have edited
‎[25/09/19, 8:53:10 PM] $h@lin!: ‎image omitted
‎[25/09/19, 8:53:10 PM] $h@lin!: ‎image omitted
‎[25/09/19, 8:53:43 PM] $h@lin!: ‎sticker omitted
[25/09/19, 8:53:44 PM] $h@lin!: Sorry for the spam... went little crazy
‎[26/09/19, 2:45:59 PM] $h@lin!: ‎sticker omitted
[26/09/19, 6:34:23 PM] $h@lin!: Machu kfc🥺
[26/09/19, 6:34:58 PM] $h@lin!: Dnt say no
[26/09/19, 6:37:40 PM] Mr. Buddy: Nehi
[26/09/19, 6:41:57 PM] $h@lin!: Ok man
[26/09/19, 6:42:07 PM] Mr. Buddy: Ok
[26/09/19, 6:42:12 PM] Mr. Buddy: Woman
[26/09/19, 6:42:25 PM] $h@lin!: 😱
[26/09/19, 8:01:46 PM] $h@lin!: Machu Sunday are u coming?
[26/09/19, 8:01:53 PM] $h@lin!: Pakka?
[26/09/19, 8:02:07 PM] Mr. Buddy: Yess
[26/09/19, 8:02:28 PM] $h@lin!: What do I do?
[26/09/19, 8:03:09 PM] Mr. Buddy: I don't think it's an issue man
[26/09/19, 8:34:07 PM] $h@lin!: Ok man will see.. can u get ur hard disk tomo?
[26/09/19, 8:34:13 PM] $h@lin!: Any new movies?
[26/09/19, 9:25:45 PM] $h@lin!: Ok dnt bring anything.. even my mom doesn’t like me.. no one wants me.. yes I do talk all nonsense.. I hate you.. I hate everyone 😖
[26/09/19, 9:26:17 PM] Mr. Buddy: Bring what?!!
[26/09/19, 9:26:31 PM] Mr. Buddy: Now only I saw messages
[26/09/19, 9:30:08 PM] $h@lin!: My lost brain
[26/09/19, 9:31:25 PM] Mr. Buddy: Ok
[26/09/19, 9:31:44 PM] $h@lin!: So busy with girlfriends🧐
[26/09/19, 9:32:07 PM] $h@lin!: Hate oksssss
‎[27/09/19, 2:06:09 PM] $h@lin!: ‎GIF omitted
[27/09/19, 8:20:05 PM] Mr. Buddy: Went home??
[27/09/19, 8:23:00 PM] $h@lin!: No
[27/09/19, 8:23:23 PM] $h@lin!: Will go next week.. u reached?
[27/09/19, 8:24:20 PM] Mr. Buddy: No will take time
[27/09/19, 8:24:36 PM] $h@lin!: Where are you
[27/09/19, 8:24:46 PM] Mr. Buddy: Silk board
[27/09/19, 8:24:48 PM] $h@lin!: Traffic?
[27/09/19, 8:24:57 PM] $h@lin!: Why did u go there??
[27/09/19, 8:25:05 PM] $h@lin!: Didn’t go with Gautham?
[27/09/19, 8:26:54 PM] Mr. Buddy: With him only
[27/09/19, 8:27:21 PM] $h@lin!: He drop u to Silk Board?
[27/09/19, 8:27:29 PM] $h@lin!: Got bus?
[27/09/19, 8:27:41 PM] Mr. Buddy: Near silk board yes
[27/09/19, 8:28:23 PM] $h@lin!: Can I ask you something?
[27/09/19, 8:28:32 PM] Mr. Buddy: Ask
[27/09/19, 8:30:11 PM] $h@lin!: Who am to u?
[27/09/19, 8:30:30 PM] Mr. Buddy: Bestie
[27/09/19, 8:31:08 PM] $h@lin!: I don’t know why do I feel so much comfortable
[27/09/19, 8:32:29 PM] $h@lin!: Sometimes I get confused by ur behaviour that u dnt like to be around me🥺
[27/09/19, 8:54:33 PM] $h@lin!: Ok man if thr is anything say it right on my face rather hiding.. reach safe👊 have some love to spread 🤣🤣🤣🤣
‎[27/09/19, 9:03:03 PM] Mr. Buddy: ‎sticker omitted
[27/09/19, 9:03:22 PM] $h@lin!: What is it
[27/09/19, 9:03:32 PM] Mr. Buddy: Star
[27/09/19, 9:03:40 PM] $h@lin!: 🤣🤣🤣🤣
[27/09/19, 9:03:46 PM] $h@lin!: No
[27/09/19, 9:03:50 PM] $h@lin!: Show and hat
[27/09/19, 9:04:26 PM] $h@lin!: What is in the middle😂 looks like a face
[27/09/19, 9:04:27 PM] Mr. Buddy: Yes
[27/09/19, 9:04:32 PM] Mr. Buddy: Yes
‎[27/09/19, 9:04:44 PM] $h@lin!: ‎sticker omitted
[27/09/19, 9:05:10 PM] $h@lin!: ‎You deleted this message.
‎[27/09/19, 9:05:29 PM] Mr. Buddy: ‎sticker omitted
[27/09/19, 9:05:43 PM] $h@lin!: This stickers are hanging the chat
[27/09/19, 9:06:19 PM] $h@lin!: Check out in hike
[27/09/19, 9:06:29 PM] $h@lin!: What did u have
‎[27/09/19, 9:16:39 PM] $h@lin!: ‎sticker omitted
[27/09/19, 9:36:31 PM] $h@lin!: There is one bug
[27/09/19, 9:36:36 PM] $h@lin!: Money got deducted but order not been placed
[27/09/19, 9:36:47 PM] $h@lin!: If u pay with Gpay
[27/09/19, 9:37:15 PM] $h@lin!: Because to pay u have to go Gpay app
[27/09/19, 9:37:15 PM] Mr. Buddy: Which app
[27/09/19, 9:37:19 PM] $h@lin!: SWIGGY
[27/09/19, 9:37:31 PM] Mr. Buddy: Ohw I've not used it
[27/09/19, 9:37:38 PM] $h@lin!: And it hold last minute transaction also
[27/09/19, 9:38:00 PM] $h@lin!: I hit cancel payment and tried to pay again
[27/09/19, 9:38:26 PM] Mr. Buddy: After hitting cancel it got paid?
[27/09/19, 9:38:48 PM] $h@lin!: I paid again but order has not been placed
[27/09/19, 9:42:02 PM] $h@lin!: To pay in Gpay they have 2min
[27/09/19, 9:42:18 PM] $h@lin!: I canceled and tried to pay again within 2min
[27/09/19, 9:42:39 PM] $h@lin!: So it was referring old transaction key
[27/09/19, 9:43:02 PM] $h@lin!: They should expire it as soon as I cancel the transaction
[27/09/19, 9:43:12 PM] $h@lin!: And generate new one
[27/09/19, 9:49:44 PM] $h@lin!: Paytm is best.. reached?
[27/09/19, 10:32:40 PM] $h@lin!: Hey reached?
[28/09/19, 12:48:51 PM] $h@lin!: Alive?👊
‎[28/09/19, 12:49:10 PM] $h@lin!: ‎sticker omitted
[28/09/19, 1:18:28 PM] $h@lin!: Young Sheldon 3rd season out
[28/09/19, 3:30:13 PM] Mr. Buddy: Ohw great
[28/09/19, 3:30:15 PM] Mr. Buddy: Wanna see that
‎[28/09/19, 3:30:26 PM] Mr. Buddy: ‎image omitted
[28/09/19, 3:32:15 PM] $h@lin!: They are going to break our heart
[28/09/19, 3:32:24 PM] Mr. Buddy: Who
[28/09/19, 3:32:38 PM] $h@lin!: Filpcart
[28/09/19, 3:32:42 PM] $h@lin!: It’s insane
[28/09/19, 3:32:45 PM] Mr. Buddy: Y
[28/09/19, 3:33:03 PM] $h@lin!: If they keep on showing this and ask us to wait for the time
[28/09/19, 3:33:17 PM] $h@lin!: Then definitely we get heart attack if it goes out of stock
[28/09/19, 3:33:28 PM] Mr. Buddy: But I didn't expect X will be 44k
[28/09/19, 3:33:34 PM] $h@lin!: If that person metal health is weak👀
[28/09/19, 3:34:22 PM] $h@lin!: I’m really not able to beliece😱
[28/09/19, 3:34:32 PM] $h@lin!: It was around 1lac
[28/09/19, 3:34:38 PM] Mr. Buddy: Me too
[28/09/19, 3:34:56 PM] Mr. Buddy: Since 11 came out they have no other choice
[28/09/19, 3:34:56 PM] $h@lin!: They have revealed prices??
[28/09/19, 3:35:00 PM] $h@lin!: It’s just a posture
[28/09/19, 3:38:32 PM] Mr. Buddy: No price realvealed
[28/09/19, 3:39:33 PM] $h@lin!: For every phone?
[28/09/19, 3:39:37 PM] $h@lin!: IphoneXR?
[28/09/19, 3:39:50 PM] Mr. Buddy: X only
[28/09/19, 3:40:36 PM] $h@lin!: There ll be hidden strategy
‎[28/09/19, 4:03:36 PM] $h@lin!: ‎sticker omitted
[28/09/19, 4:05:31 PM] $h@lin!: Ok guitar? Actually I like guitar but I don’t know 🙃 U buy na at least
[28/09/19, 4:06:30 PM] $h@lin!: Like game.. u can use it occasionally... let that singer come out
[28/09/19, 4:09:19 PM] $h@lin!: Because if u dnt practice, I have to hear that nasty voice🤢🤮
[28/09/19, 8:56:33 PM] $h@lin!: Hey there?!
[28/09/19, 8:57:49 PM] $h@lin!: I believe u ll ping me u are coming tomorrow 👊 dnt forget...
[28/09/19, 9:02:54 PM] $h@lin!: When *
[28/09/19, 11:54:32 PM] $h@lin!: At least say when we have to come.. reply as soon as u get some time
‎[29/09/19, 4:47:48 AM] $h@lin!: ‎sticker omitted
[29/09/19, 6:38:49 AM] Mr. Buddy: The site starts by 9.30
[29/09/19, 6:39:10 AM] Mr. Buddy: So you have to be there already before 10
[29/09/19, 8:16:05 AM] $h@lin!: U?
[29/09/19, 8:16:17 AM] Mr. Buddy: 10
[29/09/19, 8:27:22 AM] $h@lin!: Will u be outside?
[29/09/19, 8:27:44 AM] Mr. Buddy: Don't know man
[29/09/19, 8:27:49 AM] Mr. Buddy: Y
[29/09/19, 8:27:51 AM] $h@lin!: I mean how to get in?!
[29/09/19, 8:27:56 AM] $h@lin!: They ask any id
[29/09/19, 8:28:05 AM] Mr. Buddy: Through the gate..I don't know
[29/09/19, 8:28:14 AM] $h@lin!: To park the vehicles
[29/09/19, 8:28:33 AM] $h@lin!: U come with dada?
[29/09/19, 8:28:36 AM] Mr. Buddy: Inside only may be
[29/09/19, 8:29:25 AM] $h@lin!: If I reach the time u reach.. can u wait for me?!
[29/09/19, 8:29:34 AM] Mr. Buddy: Ok
[29/09/19, 8:30:43 AM] $h@lin!: I leave here by 9:30... if I reach early I ll wait for u ppl
[29/09/19, 8:30:55 AM] Mr. Buddy: No need many
[29/09/19, 8:30:58 AM] Mr. Buddy: Man
[29/09/19, 8:31:06 AM] $h@lin!: I need
[29/09/19, 8:31:34 AM] $h@lin!: I’m not getting how to enter
[29/09/19, 8:31:46 AM] Mr. Buddy: There is that gate
[29/09/19, 8:31:49 AM] $h@lin!: If anyone comes by that time I ll go with them
[29/09/19, 8:31:53 AM] Mr. Buddy: Through that
[29/09/19, 8:32:01 AM] $h@lin!: I know 🤣
[29/09/19, 8:32:08 AM] $h@lin!: After that
[29/09/19, 8:32:33 AM] $h@lin!: Dnt worry I ll not trouble u
[29/09/19, 8:32:57 AM] $h@lin!: I ll make my way
[29/09/19, 8:36:39 AM] $h@lin!: Are you free? I had one thing to say
[29/09/19, 8:42:18 AM] Mr. Buddy: Ha sayy
[29/09/19, 9:15:23 AM] $h@lin!: Actually that is little personal and I dnt think I can tell here and u cnt read my big messages
[29/09/19, 9:16:30 AM] $h@lin!: U shouldn’t judge me nor create a wrong opinions and u shouldn’t misunderstand... and understand who the real I’m them only I ll say
[29/09/19, 9:28:06 AM] Mr. Buddy: ??????
[29/09/19, 9:28:15 AM] Mr. Buddy: I didn't say anything
[29/09/19, 9:33:50 AM] $h@lin!: Still I have not said anything 🤣
[29/09/19, 9:33:56 AM] $h@lin!: It is preconditions
[29/09/19, 9:34:01 AM] $h@lin!: Ok I’m leaving
[29/09/19, 9:50:28 AM] $h@lin!: I reached
[29/09/19, 9:59:00 AM] Mr. Buddy: Went inside??!
[29/09/19, 10:02:20 AM] $h@lin!: Ha
[29/09/19, 10:02:45 AM] $h@lin!: All are coming now
[29/09/19, 10:03:15 AM] $h@lin!: Guarav sir came the same time
[29/09/19, 10:03:20 AM] Mr. Buddy: Ok man take care
[29/09/19, 10:03:25 AM] $h@lin!: Pooja not yet started
[29/09/19, 10:03:33 AM] $h@lin!: Me and Vinay going out for breakfast
[29/09/19, 10:03:43 AM] $h@lin!: Krishna sanidhi
[29/09/19, 10:04:09 AM] $h@lin!: U also come for breakfast 🤣
[29/09/19, 10:04:46 AM] Mr. Buddy: No if I come it will be late.
[29/09/19, 10:05:25 AM] $h@lin!: Ha take bath dirty boy
[29/09/19, 10:05:59 AM] $h@lin!: Had breakfast?
[29/09/19, 10:17:50 AM] $h@lin!: We are going back
[29/09/19, 10:18:15 AM] $h@lin!: Come fast man ... Sandip also came
[29/09/19, 10:43:19 AM] $h@lin!: Where are you
[29/09/19, 12:28:15 PM] $h@lin!: Come to cafeteria
[29/09/19, 1:53:51 PM] Mr. Buddy: ??!
[29/09/19, 1:53:58 PM] Mr. Buddy: What did u delete
[29/09/19, 1:54:57 PM] $h@lin!: That I hate you
[29/09/19, 1:55:14 PM] $h@lin!: I also thought to come but u guys left
[29/09/19, 1:55:22 PM] Mr. Buddy: Where???
[29/09/19, 1:55:24 PM] $h@lin!: So
[29/09/19, 1:55:28 PM] $h@lin!: Where are you
[29/09/19, 1:55:37 PM] Mr. Buddy: Movie
[29/09/19, 1:55:42 PM] $h@lin!: What???
[29/09/19, 1:55:44 PM] $h@lin!: Which movie
[29/09/19, 1:55:47 PM] $h@lin!: Me???
[29/09/19, 1:55:50 PM] $h@lin!: U did call me
[29/09/19, 1:55:54 PM] $h@lin!: I would have join
[29/09/19, 1:55:54 PM] Mr. Buddy: Simply said man
[29/09/19, 1:56:01 PM] Mr. Buddy: In room
[29/09/19, 1:56:10 PM] $h@lin!: Will go for movie then
[29/09/19, 1:56:14 PM] Mr. Buddy: Very tired
‎[29/09/19, 1:56:16 PM] $h@lin!: ‎sticker omitted
[29/09/19, 1:56:19 PM] Mr. Buddy: Lying in ned
[29/09/19, 1:56:25 PM] $h@lin!: Me too
[29/09/19, 1:56:45 PM] $h@lin!: These ppl not letting me go
[29/09/19, 1:56:47 PM] Mr. Buddy: Food not able to eaat after that chapathi only na?
[29/09/19, 1:56:54 PM] $h@lin!: Yes
[29/09/19, 1:57:04 PM] $h@lin!: If there was rice I wouldn’t be having chapathi
[29/09/19, 1:57:04 PM] Mr. Buddy: Cool
[29/09/19, 1:57:06 PM] Mr. Buddy: Full
[29/09/19, 1:57:11 PM] Mr. Buddy: Me too
[29/09/19, 1:57:16 PM] Mr. Buddy: I tot no white rice
[29/09/19, 1:57:18 PM] $h@lin!: It was too think
[29/09/19, 1:57:26 PM] $h@lin!: Ha same🤣
[29/09/19, 1:57:37 PM] $h@lin!: Later they said only rasam is there
[29/09/19, 1:57:56 PM] $h@lin!: Dnt feel complete Without rice
[29/09/19, 1:58:21 PM] Mr. Buddy: Yes
‎[29/09/19, 1:58:44 PM] $h@lin!: ‎sticker omitted
[29/09/19, 1:58:55 PM] $h@lin!: U ppl have to sit separate
[29/09/19, 1:59:02 PM] Mr. Buddy: Why
[29/09/19, 1:59:06 PM] $h@lin!: All testers ll be sitting in one place
[29/09/19, 1:59:15 PM] Mr. Buddy: Oooo great
[29/09/19, 1:59:23 PM] Mr. Buddy: Otherwise I'll be left out
[29/09/19, 1:59:37 PM] $h@lin!: What great
[29/09/19, 1:59:39 PM] Mr. Buddy: Coz everyone will be sitting with team
[29/09/19, 1:59:58 PM] Mr. Buddy: For me I have to keep on moving so people will get disturbed
[29/09/19, 2:00:09 PM] $h@lin!: 🥺
[29/09/19, 2:00:41 PM] Mr. Buddy: You'll get used with new friends
[29/09/19, 2:00:42 PM] $h@lin!: Ha
[29/09/19, 2:00:47 PM] Mr. Buddy: Don't worry
[29/09/19, 2:00:49 PM] $h@lin!: I don’t want
[29/09/19, 2:01:17 PM] $h@lin!: I was sitting with Pavitra and Sri before but they are not that close to me
[29/09/19, 2:02:06 PM] $h@lin!: I cnt be open to ppl
[29/09/19, 2:02:29 PM] Mr. Buddy: Odigo right
[29/09/19, 2:02:41 PM] $h@lin!: I talk in that moment but I dnt to keep them close
[29/09/19, 2:04:30 PM] $h@lin!: Now Odigo after this task I ll be in Calibrat
[29/09/19, 2:04:44 PM] Mr. Buddy: Hmm
[29/09/19, 2:04:47 PM] $h@lin!: Actually I made one decision
[29/09/19, 2:04:56 PM] $h@lin!: I dnt know it is right or not
[29/09/19, 2:04:59 PM] Mr. Buddy: Q
[29/09/19, 2:05:14 PM] $h@lin!: Was little confused but I cnt share it with anyone
[29/09/19, 2:05:46 PM] $h@lin!: Actually we again broke up... it’s been many days but rarely we were texting
[29/09/19, 2:05:55 PM] Mr. Buddy: Ohww
[29/09/19, 2:05:56 PM] Mr. Buddy: When
[29/09/19, 2:06:06 PM] $h@lin!: I don’t want to remember
[29/09/19, 2:06:31 PM] $h@lin!: May be many days ago.. I feel so
[29/09/19, 2:07:02 PM] Mr. Buddy: Ohw ok don't worry
[29/09/19, 2:07:11 PM] Mr. Buddy: Everything will be fine
[29/09/19, 2:07:20 PM] $h@lin!: And I have to ask sorry for u too because to control myself or to divert my mind ... I used to distrub u and ask u to go somewhere though I dnt like to roam
[29/09/19, 2:07:40 PM] Mr. Buddy: Oooo ok no problem
[29/09/19, 2:07:50 PM] $h@lin!: I don’t know this break up is right for both of us
[29/09/19, 2:08:09 PM] $h@lin!: I haven’t told anyone
[29/09/19, 2:08:27 PM] $h@lin!: I felt u dnt misunderstand and know me better
[29/09/19, 2:08:42 PM] Mr. Buddy: Ok man leave don't think about it
[29/09/19, 2:09:33 PM] Mr. Buddy: iPhone X is very good deal
[29/09/19, 2:11:27 PM] $h@lin!: Ha but cnt buy now👀
[29/09/19, 2:11:41 PM] Mr. Buddy: If you really want to
[29/09/19, 2:11:45 PM] Mr. Buddy: You can exchange
[29/09/19, 2:11:54 PM] $h@lin!: Feeling guilty
[29/09/19, 2:12:02 PM] $h@lin!: Seriously 8k???
[29/09/19, 2:12:03 PM] Mr. Buddy: Y
[29/09/19, 2:12:17 PM] Mr. Buddy: Or give it to your sister
[29/09/19, 2:12:20 PM] $h@lin!: A feeling like I’m doing something wrong again
[29/09/19, 2:12:20 PM] Mr. Buddy: And buy it
[29/09/19, 2:12:38 PM] $h@lin!: Have something in mind and I dnt know how to tell
[29/09/19, 2:12:38 PM] Mr. Buddy: Your stop thinking about it
[29/09/19, 2:12:46 PM] Mr. Buddy: You'll not feel like that
[29/09/19, 2:12:53 PM] $h@lin!: Now only she bought new phone
[29/09/19, 2:13:30 PM] $h@lin!: Feels like no one is permanent
[29/09/19, 2:13:37 PM] Mr. Buddy: Then wait for two three year, you'll get good one
[29/09/19, 2:13:41 PM] $h@lin!: We dnt need anyone to live
[29/09/19, 2:13:41 PM] Mr. Buddy: Yeah
[29/09/19, 2:13:56 PM] Mr. Buddy: Yes
[29/09/19, 2:14:19 PM] $h@lin!: I dnt want to stick to anything just to divert my mind
[29/09/19, 2:14:40 PM] Mr. Buddy: Don't wry
[29/09/19, 2:14:46 PM] Mr. Buddy: All is fine
[29/09/19, 2:14:47 PM] $h@lin!: I’m not that strong but I can be
[29/09/19, 2:14:54 PM] $h@lin!: Yes
[29/09/19, 2:15:32 PM] $h@lin!: I decided not to get into any relationship
[29/09/19, 2:15:40 PM] $h@lin!: Not even by chance
[29/09/19, 2:15:47 PM] $h@lin!: I’m comfortable being alone
[29/09/19, 2:16:07 PM] $h@lin!: Friends wnt stay with us.. no one be there when we need
[29/09/19, 2:16:34 PM] $h@lin!: We should stop looking outside and look at the mirror where we find the person we are looking for
[29/09/19, 2:16:43 PM] $h@lin!: Ok I don’t want to remember that
[29/09/19, 2:16:48 PM] $h@lin!: U get some sleep
[29/09/19, 2:18:59 PM] $h@lin!: This is the real me and I dnt want to change
[29/09/19, 2:19:20 PM] $h@lin!: Sorry 🤐
[29/09/19, 3:29:03 PM] Mr. Buddy: No problem
[29/09/19, 3:30:40 PM] $h@lin!: Dnt give freedom.. I may sit on ur head
[29/09/19, 3:39:35 PM] Mr. Buddy: No problem
[29/09/19, 3:43:02 PM] $h@lin!: 😱😱😱😱😱
[29/09/19, 3:43:42 PM] $h@lin!: Are u In sleepy mode
[29/09/19, 3:44:44 PM] $h@lin!: No problem if I sit on u😱
‎[29/09/19, 8:34:15 PM] $h@lin!: ‎image omitted
‎[29/09/19, 8:34:15 PM] $h@lin!: ‎image omitted
‎[29/09/19, 8:34:15 PM] $h@lin!: ‎image omitted
[29/09/19, 8:51:46 PM] Mr. Buddy: Today's
[29/09/19, 8:52:04 PM] $h@lin!: 🤔what
[29/09/19, 9:16:00 PM] $h@lin!: I friend you🤣🤣🤣
[29/09/19, 9:16:14 PM] Mr. Buddy: ??!
[29/09/19, 9:16:29 PM] $h@lin!: From a movie
[29/09/19, 9:16:52 PM] $h@lin!: He was saying girl and boy can’t be friends
[29/09/19, 9:17:11 PM] Mr. Buddy: Watching movie?
[29/09/19, 9:17:26 PM] $h@lin!: Ae dil hai Mushkil
[29/09/19, 9:17:33 PM] Mr. Buddy: Oo
[29/09/19, 9:17:51 PM] $h@lin!: That friendship is nice
[29/09/19, 9:18:01 PM] Mr. Buddy: Whom
[29/09/19, 9:18:18 PM] $h@lin!: It is more than love and peaceful
[29/09/19, 9:18:26 PM] Mr. Buddy: Oo
[29/09/19, 9:18:32 PM] $h@lin!: Whom?
[29/09/19, 9:18:47 PM] Mr. Buddy: Actors
[29/09/19, 9:18:57 PM] $h@lin!: Anushka Sharma
[29/09/19, 9:19:05 PM] $h@lin!: And Aishwarya rai
[29/09/19, 9:19:10 PM] Mr. Buddy: She is beautiful
[29/09/19, 9:19:18 PM] $h@lin!: 🤨
[29/09/19, 9:19:31 PM] Mr. Buddy: Anushka Sharma
[29/09/19, 9:19:34 PM] $h@lin!: Always thinking about beauties
[29/09/19, 9:19:47 PM] $h@lin!: Ok ok not that beautiful
[29/09/19, 9:20:02 PM] Mr. Buddy: She is very beautiful
[29/09/19, 9:20:05 PM] $h@lin!: Her lips are too broad
[29/09/19, 9:20:17 PM] $h@lin!: I know ur taste is very bad🤣
[29/09/19, 9:20:47 PM] $h@lin!: May be she is beautiful but since u are saying may be not
[29/09/19, 9:20:58 PM] Mr. Buddy: She is
[29/09/19, 9:21:06 PM] $h@lin!: 🤮
[29/09/19, 9:21:22 PM] $h@lin!: Aishwarya is beautiful
[29/09/19, 9:21:38 PM] $h@lin!: Ranbir Kapoor is 😎
[29/09/19, 9:22:32 PM] $h@lin!: Cool
[29/09/19, 9:22:47 PM] Mr. Buddy: Anushka
[29/09/19, 9:23:04 PM] $h@lin!: Anushka Shetty is beautiful
[29/09/19, 9:23:12 PM] Mr. Buddy: Sharma
[29/09/19, 9:23:17 PM] $h@lin!: Na na
[29/09/19, 9:24:04 PM] $h@lin!: Do u agree? That u like someone so much but not attracted
[29/09/19, 9:24:16 PM] Mr. Buddy: No
[29/09/19, 9:24:22 PM] $h@lin!: Why
[29/09/19, 9:24:38 PM] $h@lin!: I mean girls
[29/09/19, 9:24:40 PM] Mr. Buddy: U like someone just bczz u get attracted
[29/09/19, 9:25:22 PM] $h@lin!: Attraction means kind of that.... intimacy type
[29/09/19, 9:25:41 PM] $h@lin!: U can say physical attraction
[29/09/19, 9:25:34 PM] Mr. Buddy: No
[29/09/19, 9:25:53 PM] Mr. Buddy: No
[29/09/19, 9:26:02 PM] $h@lin!: U like someone if u are attracted?
[29/09/19, 9:27:18 PM] Mr. Buddy: Ha then
[29/09/19, 9:27:24 PM] $h@lin!: Seriously... see u like someone and u like to spend most of the time with and enjoy everything together but excluding that thing
[29/09/19, 9:27:35 PM] $h@lin!: This type u haven’t felt🤔
[29/09/19, 9:27:46 PM] Mr. Buddy: What
[29/09/19, 9:28:03 PM] $h@lin!: This type
[29/09/19, 9:28:15 PM] Mr. Buddy: I don't know
[29/09/19, 9:28:35 PM] $h@lin!: As if u have lot of girlfriends
[29/09/19, 9:28:55 PM] $h@lin!: Hang on
[29/09/19, 9:29:11 PM] $h@lin!: What about me😵
[29/09/19, 9:29:24 PM] Mr. Buddy: What what about you
[29/09/19, 9:29:35 PM] $h@lin!: 🤨
[29/09/19, 9:29:38 PM] $h@lin!: About me
[29/09/19, 9:29:43 PM] Mr. Buddy: What
[29/09/19, 9:29:53 PM] $h@lin!: 👊
[29/09/19, 9:29:59 PM] $h@lin!: Break ur teeth
